n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
32768,512,32,256,128,16,16,12,20,9,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
32768,1024,8,256,128,16,16,12,-4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03838296
32768,1024,16,256,128,16,16,12,4,10,64,64,0,0.00000000,1.00000000,5.125000,4.00,17.00,22,0.00390625,0.00015258
32768,1024,32,256,128,16,16,12,20,10,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
32768,2048,8,256,128,16,16,12,-4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
32768,2048,16,256,128,16,16,12,4,11,64,64,0,0.00000000,1.00000000,5.812500,4.00,18.00,24,0.00390625,0.00016783
32768,2048,32,256,128,16,16,12,20,11,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,64,8,256,256,8,16,11,-3,6,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
65536,64,16,256,256,8,16,11,5,6,64,64,0,0.00000000,1.00000000,4.000000,3.00,12.00,13,0.00390625,0.00009155
65536,64,32,256,256,8,16,11,21,6,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,128,8,256,256,8,16,11,-3,7,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
65536,128,16,256,256,8,16,11,5,7,64,64,0,0.00000000,1.00000000,7.062500,5.00,21.00,30,0.00390625,0.00010681
65536,128,32,256,256,8,16,11,21,7,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,256,8,256,256,16,16,11,-3,8,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
65536,256,16,256,256,16,16,11,5,8,64,64,0,0.00000000,1.00000000,10.343750,8.00,27.00,30,0.00390625,0.00012206
65536,256,32,256,256,16,16,11,21,8,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,512,8,256,256,16,16,12,-4,9,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
65536,512,16,256,256,16,16,12,4,9,64,64,0,0.00000000,1.00000000,15.796875,10.00,44.00,58,0.00390625,0.00013732
65536,512,32,256,256,16,16,12,20,9,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,1024,8,256,256,16,16,12,-4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03838296
65536,1024,16,256,256,16,16,12,4,10,64,63,1,0.01562500,0.98437500,24.952381,16.00,64.00,99,0.00390625,0.00015258
65536,1024,32,256,256,16,16,12,20,10,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
65536,2048,8,256,256,16,16,12,-4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
65536,2048,16,256,256,16,16,12,4,11,64,61,3,0.04687500,0.95312500,25.639344,18.00,74.00,88,0.00390625,0.00016783
65536,2048,32,256,256,16,16,12,20,11,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,64,8,256,512,8,16,11,-3,6,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02320981
131072,64,16,256,512,8,16,11,5,6,64,30,34,0.53125000,0.46875000,33.200000,20.00,89.00,99,0.00390625,0.00009155
131072,64,32,256,512,8,16,11,21,6,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,128,8,256,512,8,16,11,-3,7,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.02702539
131072,128,16,256,512,8,16,11,5,7,64,17,47,0.73437500,0.26562500,51.235294,54.00,89.00,98,0.00390625,0.00010681
131072,128,32,256,512,8,16,11,21,7,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,256,8,256,512,16,16,11,-3,8,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03082608
131072,256,16,256,512,16,16,11,5,8,64,9,55,0.85937500,0.14062500,52.444444,52.00,94.00,94,0.00390625,0.00012206
131072,256,32,256,512,16,16,11,21,8,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,512,8,256,512,16,16,12,-4,9,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03461191
131072,512,16,256,512,16,16,12,4,9,64,4,60,0.93750000,0.06250000,54.500000,70.00,75.00,75,0.00390625,0.00013732
131072,512,32,256,512,16,16,12,20,9,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,1024,8,256,512,16,16,12,-4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.03838296
131072,1024,16,256,512,16,16,12,4,10,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.00015258
131072,1024,32,256,512,16,16,12,20,10,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
131072,2048,8,256,512,16,16,12,-4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.04213927
131072,2048,16,256,512,16,16,12,4,11,64,0,64,1.00000000,0.00000000,0.000000,0.00,0.00,0,0.00390625,0.00016783
131072,2048,32,256,512,16,16,12,20,11,64,64,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.00000000
