n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,avg_size_bytes_success,avg_size_bits_success,bpk,epsilon_target_query,theory_query_fp_by_s
16384,128,32,256,64,8,8,11,21,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,30744.000000,245952.000000,15.011719,0.00390625,0.00000000
16384,256,8,256,64,16,8,11,-3,8,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03082608
16384,256,16,256,64,16,8,11,5,8,1,1,0,0.00000000,1.00000000,2.000000,2.00,2.00,2,31872.000000,254976.000000,15.562500,0.00390625,0.00012206
16384,256,32,256,64,16,8,11,21,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,31840.000000,254720.000000,15.546875,0.00390625,0.00000000
16384,512,8,256,64,16,8,12,-4,9,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03461191
16384,512,16,256,64,16,8,12,4,9,1,1,0,0.00000000,1.00000000,2.000000,2.00,2.00,2,33824.000000,270592.000000,16.515625,0.00390625,0.00013732
16384,512,32,256,64,16,8,12,20,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,34048.000000,272384.000000,16.625000,0.00390625,0.00000000
16384,1024,8,256,64,16,8,12,-4,10,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03838296
16384,1024,16,256,64,16,8,12,4,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,38152.000000,305216.000000,18.628906,0.00390625,0.00015258
16384,1024,32,256,64,16,8,12,20,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,37984.000000,303872.000000,18.546875,0.00390625,0.00000000
16384,2048,8,256,64,16,8,12,-4,11,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.04213927
16384,2048,16,256,64,16,8,12,4,11,1,1,0,0.00000000,1.00000000,3.000000,3.00,3.00,3,46384.000000,371072.000000,22.648438,0.00390625,0.00016783
16384,2048,32,256,64,16,8,12,20,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,46216.000000,369728.000000,22.566406,0.00390625,0.00000000
32768,64,8,256,128,8,16,11,-3,6,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02320981
32768,64,16,256,128,8,16,11,5,6,1,1,0,0.00000000,1.00000000,2.000000,2.00,2.00,2,60768.000000,486144.000000,14.835938,0.00390625,0.00009155
32768,64,32,256,128,8,16,11,21,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,62976.000000,503808.000000,15.375000,0.00390625,0.00000000
32768,128,8,256,128,8,16,11,-3,7,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02702539
32768,128,16,256,128,8,16,11,5,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,61552.000000,492416.000000,15.027344,0.00390625,0.00010681
32768,128,32,256,128,8,16,11,21,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,63632.000000,509056.000000,15.535156,0.00390625,0.00000000
32768,256,8,256,128,16,16,11,-3,8,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03082608
32768,256,16,256,128,16,16,11,5,8,1,1,0,0.00000000,1.00000000,2.000000,2.00,2.00,2,63752.000000,510016.000000,15.564453,0.00390625,0.00012206
32768,256,32,256,128,16,16,11,21,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,65800.000000,526400.000000,16.064453,0.00390625,0.00000000
32768,512,8,256,128,16,16,12,-4,9,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03461191
32768,512,16,256,128,16,16,12,4,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,67696.000000,541568.000000,16.527344,0.00390625,0.00013732
32768,512,32,256,128,16,16,12,20,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,69856.000000,558848.000000,17.054688,0.00390625,0.00000000
32768,1024,8,256,128,16,16,12,-4,10,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03838296
32768,1024,16,256,128,16,16,12,4,10,1,1,0,0.00000000,1.00000000,12.000000,12.00,12.00,12,75832.000000,606656.000000,18.513672,0.00390625,0.00015258
32768,1024,32,256,128,16,16,12,20,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,78688.000000,629504.000000,19.210938,0.00390625,0.00000000
32768,2048,8,256,128,16,16,12,-4,11,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.04213927
32768,2048,16,256,128,16,16,12,4,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,92416.000000,739328.000000,22.562500,0.00390625,0.00016783
32768,2048,32,256,128,16,16,12,20,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,94056.000000,752448.000000,22.962891,0.00390625,0.00000000
65536,64,8,256,256,8,16,11,-3,6,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02320981
65536,64,16,256,256,8,16,11,5,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,121448.000000,971584.000000,14.825195,0.00390625,0.00009155
65536,64,32,256,256,8,16,11,21,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,125576.000000,1004608.000000,15.329102,0.00390625,0.00000000
65536,128,8,256,256,8,16,11,-3,7,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02702539
65536,128,16,256,256,8,16,11,5,7,1,1,0,0.00000000,1.00000000,2.000000,2.00,2.00,2,122976.000000,983808.000000,15.011719,0.00390625,0.00010681
65536,128,32,256,256,8,16,11,21,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,126904.000000,1015232.000000,15.491211,0.00390625,0.00000000
65536,256,8,256,256,16,16,11,-3,8,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03082608
65536,256,16,256,256,16,16,11,5,8,1,1,0,0.00000000,1.00000000,2.000000,2.00,2.00,2,128464.000000,1027712.000000,15.681641,0.00390625,0.00012206
65536,256,32,256,256,16,16,11,21,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,131320.000000,1050560.000000,16.030273,0.00390625,0.00000000
65536,512,8,256,256,16,16,12,-4,9,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03461191
65536,512,16,256,256,16,16,12,4,9,1,1,0,0.00000000,1.00000000,4.000000,4.00,4.00,4,135952.000000,1087616.000000,16.595703,0.00390625,0.00013732
65536,512,32,256,256,16,16,12,20,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,139768.000000,1118144.000000,17.061523,0.00390625,0.00000000
65536,1024,8,256,256,16,16,12,-4,10,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03838296
65536,1024,16,256,256,16,16,12,4,10,1,1,0,0.00000000,1.00000000,27.000000,27.00,27.00,27,152296.000000,1218368.000000,18.590820,0.00390625,0.00015258
65536,1024,32,256,256,16,16,12,20,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,156880.000000,1255040.000000,19.150391,0.00390625,0.00000000
65536,2048,8,256,256,16,16,12,-4,11,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.04213927
65536,2048,16,256,256,16,16,12,4,11,1,1,0,0.00000000,1.00000000,68.000000,68.00,68.00,68,184608.000000,1476864.000000,22.535156,0.00390625,0.00016783
65536,2048,32,256,256,16,16,12,20,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,188608.000000,1508864.000000,23.023438,0.00390625,0.00000000
131072,64,8,256,512,8,16,11,-3,6,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02320981
131072,64,16,256,512,8,16,11,5,6,1,1,0,0.00000000,1.00000000,8.000000,8.00,8.00,8,242776.000000,1942208.000000,14.817871,0.00390625,0.00009155
131072,64,32,256,512,8,16,11,21,6,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,250792.000000,2006336.000000,15.307129,0.00390625,0.00000000
131072,128,8,256,512,8,16,11,-3,7,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.02702539
131072,128,16,256,512,8,16,11,5,7,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.00010681
131072,128,32,256,512,8,16,11,21,7,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,255216.000000,2041728.000000,15.577148,0.00390625,0.00000000
131072,256,8,256,512,16,16,11,-3,8,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03082608
131072,256,16,256,512,16,16,11,5,8,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.00012206
131072,256,32,256,512,16,16,11,21,8,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,262328.000000,2098624.000000,16.011230,0.00390625,0.00000000
131072,512,8,256,512,16,16,12,-4,9,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03461191
131072,512,16,256,512,16,16,12,4,9,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.00013732
131072,512,32,256,512,16,16,12,20,9,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,278680.000000,2229440.000000,17.009277,0.00390625,0.00000000
131072,1024,8,256,512,16,16,12,-4,10,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.03838296
131072,1024,16,256,512,16,16,12,4,10,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.00015258
131072,1024,32,256,512,16,16,12,20,10,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,311320.000000,2490560.000000,19.001465,0.00390625,0.00000000
131072,2048,8,256,512,16,16,12,-4,11,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.04213927
131072,2048,16,256,512,16,16,12,4,11,1,0,1,1.00000000,0.00000000,0.000000,0.00,0.00,0,none,none,none,0.00390625,0.00016783
131072,2048,32,256,512,16,16,12,20,11,1,1,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,378144.000000,3025152.000000,23.080078,0.00390625,0.00000000
